Text,Label,Cluster,Predicted Sentiment,Real Sentiment
coffee bean met dean,2,Cluster 1,Negative,Neutral
internet billing fee countries setup cost usa alone,2,Cluster 1,Negative,Neutral
always sunny days cant possible outside life get,2,Cluster 1,Negative,Neutral
six feet theme jjj,2,Cluster 1,Negative,Neutral
ur gon na missed know hope things better,2,Cluster 1,Negative,Positive
wooomy luck done,2,Cluster 1,Negative,Positive
yer ispoor little well doesnt deserve stick everyone cowell going producer,2,Cluster 1,Negative,Neutral
feel good,2,Cluster 1,Negative,Positive
wannabe dubai,2,Cluster 1,Negative,Neutral
oh ayehe rocks shes,2,Cluster 1,Negative,Neutral
still needs another hours sleep,2,Cluster 1,Negative,Neutral
scrubs tonight pm woo,2,Cluster 1,Negative,Positive
sweet going publicly available,2,Cluster 1,Negative,Neutral
im sad beloved boy doesnt online wait everyday,2,Cluster 1,Negative,Positive
hahahaha havent friends since sunday im lame,2,Cluster 1,Negative,Negative
suck,2,Cluster 1,Negative,Negative
whats going sweetheart,2,Cluster 1,Negative,Positive
ever met guy thatv everything want need never really went w gnite daddy,2,Cluster 1,Negative,Neutral
omg ur alive lol day gone sooo slow im going insane grrr anything tonight,2,Cluster 1,Negative,Neutral
weird trigger definitely ask monday dude,2,Cluster 1,Negative,Positive
officially celebrating th tweet wow proud great,2,Cluster 1,Negative,Positive
chillin break eatin grub pretty burnt eventful day wanting go movies ian happening though,2,Cluster 1,Negative,Neutral
oh man thats rough sounded like weekend went well get sleep,2,Cluster 1,Negative,Neutral
hey dave im uk first thing done put rr could u play ill new kids block thanks,2,Cluster 1,Negative,Neutral
boo used live upland funnnn,2,Cluster 1,Negative,Neutral
good enough,2,Cluster 1,Negative,Positive
jonas awesome watched groovy movies frankie weird lol,2,Cluster 1,Negative,Positive
knightsweet dreams,2,Cluster 1,Negative,Positive
french trois nobody sitting next feel little lonely,2,Cluster 1,Negative,Neutral
im sick sucks im ohbabayy,2,Cluster 1,Negative,Negative
got marks bcit death swear,2,Cluster 1,Negative,Negative
dang baby love,2,Cluster 1,Negative,Positive
wish carlton game live stupid channel lol,2,Cluster 1,Negative,Positive
cant rooting ali twitter war,2,Cluster 1,Negative,Neutral
finally raining delhi,2,Cluster 1,Negative,Neutral
sittin listenin music follow,2,Cluster 1,Negative,Neutral
bed one day left school get go holidays yay finally getting sick school lol,2,Cluster 1,Negative,Positive
turn reportdone,2,Cluster 1,Negative,Neutral
roaming thing happen switched att,2,Cluster 1,Negative,Neutral
im smaller companies rather bigger ones like worked big company prove though,2,Cluster 1,Negative,Neutral
plus janessa hurt feelings,2,Cluster 1,Negative,Negative
forgot power cable home today,2,Cluster 1,Negative,Neutral
im russia today im cracking economics tommorow im retaking aswell,2,Cluster 1,Negative,Neutral
hey whats im library right comp sign,2,Cluster 1,Negative,Neutral
gahh weather sucksss,2,Cluster 1,Negative,Neutral
friday night im home party weekend,2,Cluster 1,Negative,Neutral
maya kibbel facebook myspace page,2,Cluster 1,Negative,Neutral
keep telling youll feel better tomorrow lazy day sunfay afterall excuses,2,Cluster 1,Negative,Neutral
damnit run candy coated books,2,Cluster 1,Negative,Neutral
yeah know thanks much,2,Cluster 1,Negative,Positive
ahhhh wont let watch video phone,2,Cluster 1,Negative,Neutral
hi susan read blog really good look forward tweet updates,2,Cluster 1,Negative,Neutral
wish literally could every worldima nymph,2,Cluster 1,Negative,Neutral
java working hmph cant upload photos facebook,2,Cluster 1,Negative,Neutral
thats really fair mean leave like dont even give us party coming back,2,Cluster 1,Negative,Positive
thats bad luck,2,Cluster 1,Negative,Positive
something red bull hmmm think maybe,2,Cluster 1,Negative,Neutral
listened coz reminded depressing httpblipfmjoo,2,Cluster 1,Negative,Neutral
follow honey,2,Cluster 1,Negative,Neutral
glad weekend one week left school kids,2,Cluster 1,Negative,Neutral
wow two hour conversation someone omegle amazing,2,Cluster 1,Negative,Positive
pic back blue,2,Cluster 1,Negative,Neutral
oh poor thing keep us posted,2,Cluster 1,Negative,Neutral
closed votingall u vote best movie hope win yo daughter lovesss sing climb,2,Cluster 1,Negative,Positive
hey cant make makers tonight,2,Cluster 1,Negative,Neutral
httptwitpiccomwah haha thats right,2,Cluster 1,Negative,Neutral
uuuugh hate everything,2,Cluster 1,Negative,Negative
thank needed,2,Cluster 1,Negative,Positive
hows baby fever,2,Cluster 1,Negative,Neutral
think ill pass worm haha good morning,2,Cluster 1,Negative,Positive
ok got knight,2,Cluster 1,Negative,Positive
lightmare like six hang around house get come keep,2,Cluster 1,Negative,Neutral
went galveston want go back,2,Cluster 1,Negative,Neutral
somehow yet accomplish thing,2,Cluster 1,Negative,Neutral
wish sister lived near,2,Cluster 1,Negative,Neutral
im lost without laptop break today made even worse big bosses skipton showed today,2,Cluster 1,Negative,Neutral
dissapointment hhaha,2,Cluster 1,Negative,Neutral
aural goodness,2,Cluster 1,Negative,Positive
wow derek rose got next student sats cant play,2,Cluster 1,Negative,Neutral
make fun,2,Cluster 1,Negative,Positive
drove past hotel wish u ere im thinking december trip real white xmas,2,Cluster 1,Negative,Neutral
heyy sweety go advanced training waht r u hugzxxxxxxxxxx,2,Cluster 1,Negative,Neutral
sorry delay publishing weeks show technical difficulties encoding asap may saturday,2,Cluster 1,Negative,Neutral
using onscreen keyboard,2,Cluster 1,Negative,Neutral
im problem photo twitter amfcant see face,2,Cluster 1,Negative,Neutral
involved requirements architecture nice im looking forward writing code,2,Cluster 1,Negative,Neutral
quinn puppy got sick,2,Cluster 1,Negative,Negative
cupcakes creme brulee tiramisu want sugar,2,Cluster 1,Negative,Neutral
feel sorry male singers never gon na great zac hanson pooorr fellas,2,Cluster 1,Negative,Neutral
uh yeah totally real life sooooo,2,Cluster 1,Negative,Neutral
u point pointing yesterday ppl wait til midnight kinda pissed,2,Cluster 1,Negative,Neutral
anyone needs help images let know convo forums link,2,Cluster 1,Negative,Neutral
feels guility sorry bout httpplurkcompwyqow,2,Cluster 1,Negative,Neutral
know feeling,2,Cluster 1,Negative,Positive
never anything good school rabbit life cycle dunno tune giutar stuffed,2,Cluster 1,Negative,Neutral
homework,2,Cluster 1,Negative,Neutral
bed hot date sudoku maybe chapter two reading stay awake long great night tweeps,2,Cluster 1,Negative,Neutral
awww thanks lol ermm happened studying ha ha,2,Cluster 1,Negative,Positive
amazinq qirlsniqhtout quess always qreat excuse wear tiny dresses heels,2,Cluster 1,Negative,Neutral
waiting dang pizza cook almost still eaten wifey fail mention feel like,2,Cluster 1,Negative,Neutral
hype friday raining outsideno rain day rainin time kickitmr sun trippin,2,Cluster 1,Negative,Neutral
poor andrew wisdom teeth removed wish hell get better fast,2,Cluster 1,Negative,Positive
yeah haha rd episode well,2,Cluster 1,Negative,Positive
control aw babyy im sorry gots excited haha,2,Cluster 1,Negative,Positive
getting hair cut todayyyy im nerrrvous,2,Cluster 1,Negative,Neutral
dont find stuff amusing,2,Cluster 1,Negative,Neutral
thanks folow,2,Cluster 1,Negative,Positive
congratulations,2,Cluster 1,Negative,Positive
bought good chocolate magazine later ill play comanche good saturday,2,Cluster 1,Negative,Positive
chance youll madison wi location soon maybe small,2,Cluster 1,Negative,Neutral
pouring holes shoes,2,Cluster 1,Negative,Neutral
greetings joan wanted say still miss waking pleasant personality face hugs angel,2,Cluster 1,Negative,Positive
ins wouldnt pay therapy dk,2,Cluster 1,Negative,Neutral
know hot twitter works,2,Cluster 1,Negative,Neutral
yea yea im torture stanky leg marathonima dance hrs til cant mo,2,Cluster 1,Negative,Neutral
really sick tired bodys resisting rest,2,Cluster 1,Negative,Negative
itsurely dear posted presentation swine flu yest got downloads dayi feels great,2,Cluster 1,Negative,Positive
class trying listen really like twitter facebook myspace oh yeaaah im hungry,2,Cluster 1,Negative,Neutral
oh ok coming x,2,Cluster 1,Negative,Positive
sick staying home thats levy said,2,Cluster 1,Negative,Neutral
dont like random gloomy weather,2,Cluster 1,Negative,Positive
yaay congrats shmolan graduating im proud fun,2,Cluster 1,Negative,Positive
httptwitpiccomwsst one models photo shoot stacey,2,Cluster 1,Negative,Neutral
hey twit watched poor holly britains got talent poor thing people mean year old little girl,2,Cluster 1,Negative,Neutral
yay mark issues tooyoull find lot issues lmao,2,Cluster 1,Negative,Positive
theres spider bed calming fears listening greeeeen day,2,Cluster 1,Negative,Neutral
thanks buddi problem friend yah post pics london nothing much really u,2,Cluster 1,Negative,Positive
kind lonely nobody answer phone,2,Cluster 1,Negative,Positive
palm pre doesnt record video,2,Cluster 1,Negative,Neutral
twittering texting ipoding love invention mutitasking,2,Cluster 1,Negative,Neutral
ok im hungry im fat knowi know aha,2,Cluster 1,Negative,Neutral
yeahwe say shite alot say shiiiterhyming light,2,Cluster 1,Negative,Neutral
floor mopping sounds unappealing,2,Cluster 1,Negative,Neutral
omg nervous last block speech almost puked horrible bet got bad grade,2,Cluster 1,Negative,Negative
white house things lifesaver httpsnipurlcomhkuj,2,Cluster 1,Negative,Neutral
alright party success fun,2,Cluster 1,Negative,Positive
either way thats unfortunate hear thanks heads,2,Cluster 1,Negative,Positive
unless invite comes beta key im going much help,2,Cluster 1,Negative,Neutral
would like swapim sitting grumpies,2,Cluster 1,Negative,Neutral
chromes popup blocker better,2,Cluster 1,Negative,Neutral
content content content gah story life right thx reminding thats v tweeting,2,Cluster 1,Negative,Neutral
dnt get go play lasertag w besties old mes dead gone,2,Cluster 1,Negative,Neutral
thing preparing sermons one week think doneyou prepare powerpoint slides,2,Cluster 1,Negative,Neutral
thanks youve quiet lately,2,Cluster 1,Negative,Neutral
haha soooo party tonight,2,Cluster 1,Negative,Positive
poor girl britains got talent god love forgot words cried gets second chance perform,2,Cluster 1,Negative,Positive
sounds interesting,2,Cluster 1,Negative,Positive
attention length time type tell ya ill add old mans war wish list amazon,2,Cluster 1,Negative,Positive
bad headache,2,Cluster 1,Negative,Negative
want,2,Cluster 1,Negative,Positive
used live ocean shoulda gone beach often,2,Cluster 1,Negative,Neutral
artwork got ta get portfolio done meca wednesday meeting milonzzi review,2,Cluster 1,Negative,Neutral
whoohoo went get movies junk food womens night mwahaha,2,Cluster 1,Negative,Neutral
achillies thanks yay guild,2,Cluster 1,Negative,Positive
oh seems playable joker ps exclusivity arkham asylum much bigger thought,2,Cluster 1,Negative,Neutral
watching dr horrible dont mad,2,Cluster 1,Negative,Positive
im really full huge breakfast,2,Cluster 1,Negative,Neutral
iphone soon theyre adding autofill logins wont type everytime,2,Cluster 1,Negative,Neutral
cant wait hear new album im sure amazingplease replay love much,2,Cluster 1,Negative,Neutral
im still waitin girl come homei wan na go shopping,2,Cluster 1,Negative,Neutral
lindsay spanish fansite love wwwultimatelohanorg please reply us wish good flight,2,Cluster 1,Negative,Positive
getting excited thorpe park tomorrow,2,Cluster 1,Negative,Neutral
com quiz feliza bugging us getting annoying,2,Cluster 1,Negative,Neutral
gmorning ooh giirll mondays,2,Cluster 1,Negative,Neutral
heard one alicia keys like minutes ago made night,2,Cluster 1,Negative,Neutral
hey david gone eye yet birthday singing ipswitchbest present ever fun breakfast hunting,2,Cluster 1,Negative,Neutral
rblpn know could listen every version war pigs ever recorded httpblipfmzd,2,Cluster 1,Negative,Neutral
fevered imagination son,2,Cluster 1,Negative,Neutral
home day pampering mom dinner family currently snuggied couch glass wine new book ahhh,2,Cluster 1,Negative,Neutral
ate mandy please forgive really sorry dont wan na lose bff,2,Cluster 1,Negative,Positive
monday monday mr cade home couch lots today,2,Cluster 1,Negative,Neutral
like roll eyes im curious hell good singing real treat far im concerned,2,Cluster 1,Negative,Positive
ooo believe theyve closed even ones airport,2,Cluster 1,Negative,Neutral
layin n bed headache ughhhhwaitin call,2,Cluster 1,Negative,Neutral
oh noes average joes lexington closing sad,2,Cluster 1,Negative,Neutral
going staring hello kittys face,2,Cluster 1,Negative,Neutral
oh messages probably,2,Cluster 1,Negative,Neutral
mondays best excited week,2,Cluster 1,Negative,Positive
beautiful day hangin guys graham josiah lol waiting others wan na stop come food,2,Cluster 1,Negative,Neutral
good morning sexy twitter hows yall im gd like n still wan na sleep,2,Cluster 1,Negative,Neutral
garcia bend learned lesson last night thought gon na throw got tix fashion show end mo,2,Cluster 1,Negative,Neutral
got ta go twitterers stupid sister wants go facebook oging montreal morrow wont bye xoxox,2,Cluster 1,Negative,Neutral
haha thanks inane grin grading students really fascinating semester,2,Cluster 1,Negative,Positive
stay great mother gave coldflu left still cough,2,Cluster 1,Negative,Neutral
holy cheese sending things motherland muy caro,2,Cluster 1,Negative,Neutral
movie really gooood,2,Cluster 1,Negative,Neutral
jareds wearing green shirt sparkly eyes yee hear asylm highly disorganized hang,2,Cluster 1,Negative,Neutral
little girl still holding phone tears pouring eyes,2,Cluster 1,Negative,Neutral
hey please reply cant call im mexico dont know code love,2,Cluster 1,Negative,Neutral
late actually spelling bee back day got eliminated state finals though,2,Cluster 1,Negative,Neutral
twist picking,2,Cluster 1,Negative,Neutral
yes sure would eat,2,Cluster 1,Negative,Positive
nice wedding ring shiny,2,Cluster 1,Negative,Neutral
feeling considerably better hours sleep still right though,2,Cluster 1,Negative,Neutral
wishes love coming home,2,Cluster 1,Negative,Positive
yep youve converted blip great hear lot others suggestions pretty great stuff,2,Cluster 1,Negative,Positive
hey gal pals phoenix,2,Cluster 1,Negative,Neutral
feel good today,2,Cluster 1,Negative,Positive
bank holiday rain superb great excuse start gardening jungle back house eating,2,Cluster 1,Negative,Positive
lisa yes know ur talking yes dont let get yayou great thing going chris,2,Cluster 1,Negative,Neutral
miss already sad faces texted seriously gon na make cry,2,Cluster 1,Negative,Negative
thabks made feel special,2,Cluster 1,Negative,Neutral
yep got ta go man ill ttyl eventually sometime future hopefully soon,2,Cluster 1,Negative,Neutral
mayb raped younger,2,Cluster 1,Negative,Negative
dunno yet would love though keep missing time reason fun,2,Cluster 1,Negative,Positive
palms itchy doesnt mean something coming great deal money,2,Cluster 1,Negative,Neutral
xd tried say seems like people facebook dont agree guess fail cries,2,Cluster 1,Negative,Positive
hello friendyou found gbw glad see twitter learn german,2,Cluster 1,Negative,Neutral
done dentist november,2,Cluster 1,Negative,Neutral
doubt ill get one honest,2,Cluster 1,Negative,Negative
wow tagers rock awesome performance,2,Cluster 1,Negative,Positive
mhmm idk thought showing freaking ppl hehebut yeah totally understand u guys vn sounds cool,2,Cluster 1,Negative,Neutral
lol u knew better ud better wouldnt wear uggs shoe weather awww rip stack b,2,Cluster 1,Negative,Neutral
way lake geneva miss laura,2,Cluster 1,Negative,Neutral
gave bikes thorough wash degrease grease think really good job,2,Cluster 1,Negative,Neutral
awwwww snaaaap jimmaaayy man hookups bad im far away,2,Cluster 1,Negative,Neutral
kittykat thats nice,2,Cluster 1,Negative,Positive
asked sing yet againaha coffee mornin time psychology past questionsrevision suck,2,Cluster 1,Negative,Neutral
would like miles gas prices crazy im alpine next summer def,2,Cluster 1,Negative,Neutral
okay thanks,2,Cluster 1,Negative,Positive
see adriana month,2,Cluster 1,Negative,Neutral
indeed tonsillitis good thing ive advised eat lots ice cream solid foods im bed ridden,2,Cluster 1,Negative,Neutral
raining gng rain dance,2,Cluster 1,Negative,Neutral
enjoy day prob see u top glyders pint got ta drive straight back weve got dog stuff sunday,2,Cluster 1,Negative,Neutral
wonder white supremists say abhor racists httpbitlyrdf,2,Cluster 1,Negative,Negative
meeting boy,2,Cluster 1,Negative,Neutral
tv hope shatner didnt address message philosophers doomed stopped thinking,2,Cluster 1,Negative,Positive
hiiiiii texted u day u didnt respond whats,2,Cluster 1,Negative,Neutral
duerden jealousmuchi want outttt stuck revising better green dragon honour lol,2,Cluster 1,Negative,Positive
thanks got tired bleaching um bangs yeah actually bit purple oopsie,2,Cluster 1,Negative,Neutral
well bell hooks teaching transgress sometimes miss teaching messing bad system,2,Cluster 1,Negative,Neutral
clp heard db better mixing downespecially use sounds,2,Cluster 1,Negative,Neutral
teaching people beauty twitter,2,Cluster 1,Negative,Positive
im sorry xmen sucks bad way p,2,Cluster 1,Negative,Negative
follow cause really shop even though dont showin love,2,Cluster 1,Negative,Neutral
betill spirit im uk really lol like pic btw x,2,Cluster 1,Negative,Positive
still eatin lunchn readin comments last niteda best comment receive really brought anne life,2,Cluster 1,Negative,Neutral
ratings army wives teary criminal minds yikes criminal intent takes sorts real life news horrifying ok bed nite,2,Cluster 1,Negative,Neutral
wow good im mac xp via parallels ever need tester,2,Cluster 1,Negative,Positive
good luck tomorrow,2,Cluster 1,Negative,Positive
woo hoo recipe,2,Cluster 1,Negative,Positive
actually participated lit today p also better rain,2,Cluster 1,Negative,Neutral
irregularly im halfassedly working essay saying halfassedly really mean words even open,2,Cluster 1,Negative,Neutral
star warz day reallythat hot topic manoh man im waiting star trek,2,Cluster 1,Negative,Neutral
workin still lol wanted go spring game,2,Cluster 1,Negative,Neutral
homework,2,Cluster 1,Negative,Neutral
salary actually spend money hooray time go shopping dinner ahora say goodbye,2,Cluster 1,Negative,Neutral
miss ya boyfriend gon na see ya brtt,2,Cluster 1,Negative,Neutral
watching americas next top model yah haha,2,Cluster 1,Negative,Neutral
thats birthday boys ipod touch dsi setup sorted think would happy ball boots age,2,Cluster 1,Negative,Neutral
kinda done trying ugh oh well worth effort long day tomorrow night tweeters,2,Cluster 1,Negative,Neutral
funerals bueno,2,Cluster 1,Negative,Negative
sounds like sonicswhich never record say spicy bred buffalo wings w blu cheese beer,2,Cluster 1,Negative,Neutral
well right side thirty,2,Cluster 1,Negative,Neutral
think might break purchase us donot know call,2,Cluster 1,Negative,Neutral
tom u plans germany answer ur germany fas,2,Cluster 1,Negative,Neutral
ah haha omg fudge grahmcracker cookies boo,2,Cluster 1,Negative,Neutral
drinking harm doc convinced cause pcvs look uptold stop smoking yet come,2,Cluster 1,Negative,Neutral
hahahaha nahh sowwieee git shirt match dez sneakerz nd idk da color aghhh lol,2,Cluster 1,Negative,Neutral
feeling sorry ian broke gf feel reali sad cos feels wish give huge hug right,2,Cluster 1,Negative,Positive
saying goodbye something familiar never becomes familiar,2,Cluster 1,Negative,Neutral
sunburned face legs fixing arms tooo,2,Cluster 1,Negative,Neutral
planning surviving financial status quitting job got ta find new job within months,2,Cluster 1,Negative,Neutral
graduation tonight im gon na miss boysmikey dustin miles charlie travy nicky john jake boysi love guys,2,Cluster 1,Negative,Neutral
gnite fukn nite wanted sum pinga couldnt get,2,Cluster 1,Negative,Neutral
sweaters,2,Cluster 1,Negative,Neutral
wow great list need shop,2,Cluster 1,Negative,Positive
lol birmingham st love time move good morning,2,Cluster 1,Negative,Positive
wants hang friends soon,2,Cluster 1,Negative,Positive
characters find rarely enough elaborate much upon anything,2,Cluster 1,Negative,Neutral
sees steve coogan raises dylan moran,2,Cluster 1,Negative,Neutral
like saw movie would give tyler perry wasnt,2,Cluster 1,Negative,Neutral
couldnt get money mikey time trust makes sad,2,Cluster 1,Negative,Positive
incredibly worried stanley,2,Cluster 1,Negative,Negative
stop talking ur gon na mean,2,Cluster 1,Negative,Neutral
afternoon uve got new pic nice specs,2,Cluster 1,Negative,Neutral
httpbitlymsize go dear love janelle,2,Cluster 1,Negative,Positive
boreedd,2,Cluster 1,Negative,Neutral
ridiculously warm bed,2,Cluster 1,Negative,Positive
techupdate know nutty newsire twitterfeed ones coming wo links cant lazy without linkslol,2,Cluster 1,Negative,Neutral
awwww internet right drummer boi,2,Cluster 1,Negative,Neutral
personally could decide election sign place north last fall reagan tjefferson troosevelt,2,Cluster 1,Negative,Neutral
far everybody look good momma goat kid month hope week,2,Cluster 1,Negative,Neutral
woop bought elliot minor album itunes finally working,2,Cluster 1,Negative,Neutral
listening del barrio records release think cmyk music competition minimal techno madrid land,2,Cluster 1,Negative,Neutral
cried like fukn baby today durin da senior showima miss senior friends,2,Cluster 1,Negative,Positive
people talk gone,2,Cluster 1,Negative,Neutral
know bro asked shaked fists cats make last night weekend im philly,2,Cluster 1,Negative,Neutral
spent evening gala high school drama companys th anniversary lots memories,2,Cluster 1,Negative,Neutral
ftr u miss u team already,2,Cluster 1,Negative,Neutral
went page made hungry,2,Cluster 1,Negative,Neutral
good morning dont think stopped raining past three days cares,2,Cluster 1,Negative,Positive
wzzzzzzzzzup derrek r starting band practice jayk skylar leaving california today lucky,2,Cluster 1,Negative,Neutral
quite sure ace cakes gosh im tired loved bride wars fun night,2,Cluster 1,Negative,Positive
salad krogers hungry,2,Cluster 1,Negative,Neutral
waking yuuup still going tonight better believe,2,Cluster 1,Negative,Neutral
cant play world conflict computer running slow,2,Cluster 1,Negative,Neutral
last heroes ep sept sick drugged past days dr says lacking everything esp get sunshine,2,Cluster 1,Negative,Neutral
know theyre trying sort portfolio dont know put,2,Cluster 1,Negative,Neutral
starbuck,2,Cluster 1,Negative,Neutral
ugh,2,Cluster 1,Negative,Negative
reading taking notes undertanding none help,2,Cluster 1,Negative,Neutral
arnold california aka best place everwish could come,2,Cluster 1,Negative,Neutral
cats unimpressed thunderstorm dog wishes would come home,2,Cluster 1,Negative,Neutral
man cut hair mean cory procuts come,2,Cluster 1,Negative,Neutral
oh hope get better show argentina good luck,2,Cluster 1,Negative,Positive
im tuna noodles thing smashed potato cakes winksy says hi,2,Cluster 1,Negative,Neutral
get dachshund awesome getting stuck silly places know breed,2,Cluster 1,Negative,Positive
hey mar miss also yeah got ta find stupidstupid school,2,Cluster 1,Negative,Neutral
way home dood dont think crappy vodafone gprs handle yaymencom,2,Cluster 1,Negative,Neutral
enough pizza ordered didnt get pizza delight,2,Cluster 1,Negative,Neutral
idol looking new sms sending solution httppromotionitaggcom get free sms every itagg,2,Cluster 1,Negative,Neutral
really worth watching cinema mum really enjoyed,2,Cluster 1,Negative,Positive
know funny thing everyone packing e packing go mexico e,2,Cluster 1,Negative,Neutral
kinda may chickened,2,Cluster 1,Negative,Neutral
snlyouve gotten better keep,2,Cluster 1,Negative,Neutral
oh today friend goes usa im going miss much great time darling,2,Cluster 1,Negative,Positive
holy wow think couldve slept day soooo tired,2,Cluster 1,Negative,Positive
roxy right palmade stuffs pretty cool,2,Cluster 1,Negative,Positive
sending tons thankful love sock summit cant believe utter people spew,2,Cluster 1,Negative,Neutral
sleppytime really missing godfather right love wayne,2,Cluster 1,Negative,Positive
saddest celeb story week httpbitlyhph,2,Cluster 1,Negative,Negative
britta says wants lunch,2,Cluster 1,Negative,Neutral
organic chemistry ah confusing,2,Cluster 1,Negative,Neutral
aww love,2,Cluster 1,Negative,Positive
paid like first slightly stoopid show charge pop makes sad,2,Cluster 1,Negative,Neutral
ran accela unit tests first time years failed,2,Cluster 1,Negative,Neutral
faith daphne,2,Cluster 1,Negative,Positive
got ta check bro thatand mine girl,2,Cluster 1,Negative,Neutral
bored waiting class start sigh midterms next week,2,Cluster 1,Negative,Neutral
im soooooooo hungry wat eat,2,Cluster 1,Negative,Neutral
awesome fruits vegetable juice opening lams noodles fb httptinyurlcomqnjqx,2,Cluster 1,Negative,Neutral
result salary decrease,2,Cluster 1,Negative,Neutral
whaaaat happen,2,Cluster 1,Negative,Neutral
feel dpressed,2,Cluster 1,Negative,Neutral
diva always coffee cookies,2,Cluster 1,Negative,Neutral
collect tv acquired freecycle,2,Cluster 1,Negative,Neutral
stomach feels like touching groundim full,2,Cluster 1,Negative,Neutral
kinda looking forward seeing seann william scott office today,2,Cluster 1,Negative,Neutral
itl,2,Cluster 1,Negative,Neutral
disturbed sold baby tiger met thailand exotic pet greedy bastards,2,Cluster 1,Negative,Negative
sorry mr grey menlo,2,Cluster 1,Negative,Positive
good intent hopefully others get vibe,2,Cluster 1,Negative,Positive
white pointy shoes haha ah got excited enw drummer youre mean,2,Cluster 1,Negative,Neutral
bahaha loook like kung fu panda wake morning,2,Cluster 1,Negative,Positive
little bit drink isnt actually strong anymore,2,Cluster 1,Negative,Neutral
time ticking sooo sloooooooooowlyyyyyyyyyyyyy,2,Cluster 1,Negative,Neutral
thank god sport doesnt take offence jokes unlike three good friends stopped talking,2,Cluster 1,Negative,Positive
heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame,2,Cluster 1,Negative,Neutral
hate program freezes installation,2,Cluster 1,Negative,Negative
yes maybe dm though dont annoy followers thought late good night,2,Cluster 1,Negative,Neutral
great first impressions little netbook downside access hatch upgrade ram,2,Cluster 1,Negative,Positive
lol brandy mr whiskers,2,Cluster 1,Negative,Neutral
feel like throw,2,Cluster 1,Negative,Positive
sooo reluctant study finals right,2,Cluster 1,Negative,Neutral
welcome public transport x,2,Cluster 1,Negative,Positive
possibly carpenters numbertopical,2,Cluster 1,Negative,Neutral
still shoesless que ardillaaaaaaaaaaaa,2,Cluster 1,Negative,Neutral
yea looks good flower mean,2,Cluster 1,Negative,Neutral
epicentre wheelock place units tourists starting today,2,Cluster 1,Negative,Neutral
fun last night didnt see,2,Cluster 1,Negative,Neutral
date like man dont get played like,2,Cluster 1,Negative,Positive
marrrrrrrrrry fun partying tonight drink wud come see,2,Cluster 1,Negative,Neutral
nw macedonia rainy days row,2,Cluster 1,Negative,Neutral
youre welcome,2,Cluster 1,Negative,Positive
whats wrong flickr httpwwwflickrcomphotosfrenchtoastcake quilt top photo shows click sad story,2,Cluster 1,Negative,Neutral
supposed unrelated storywise new part fallout series theyre working name,2,Cluster 1,Negative,Neutral
week week gym worst headache,2,Cluster 1,Negative,Negative
pills punching bag ive never touched covered brothers sweat u use u want hehe,2,Cluster 1,Negative,Neutral
omfg downing tasty ate almost lo,2,Cluster 1,Negative,Neutral
lovin performance snl tonight funny,2,Cluster 1,Negative,Neutral
want call go michigan hahha,2,Cluster 1,Negative,Neutral
morning ali big thank yesterday love always xxxx bike today dont forget get helmet ok,2,Cluster 1,Negative,Neutral
helping cousin get ready th grade danceshe growing,2,Cluster 1,Negative,Positive
bank,2,Cluster 1,Negative,Neutral
miss show,2,Cluster 1,Negative,Negative
chilling feeling really nice,2,Cluster 1,Negative,Positive
hey nothing wrong,2,Cluster 1,Negative,Positive
watched persepolis broken english also nice sundays,2,Cluster 1,Negative,Positive
well official strep,2,Cluster 1,Negative,Positive
thinking song use next chilled edition video,2,Cluster 1,Negative,Neutral
going town friend long time havent seen himokok feeling fresh,2,Cluster 1,Negative,Neutral
route home parents th wedding anniversary day gona take em dinner lets c find woman getha long,2,Cluster 1,Negative,Neutral
aha bet cuteshould wear nu time cn show mineu cn show,2,Cluster 1,Negative,Neutral
dont think sale ciroc staythats luck,2,Cluster 1,Negative,Neutral
feel like nerd saying new star trek looks kinda cool might see haha let know goes,2,Cluster 1,Negative,Neutral
want get nails done today according superstition cant guess ill wait til tomorrow french,2,Cluster 1,Negative,Neutral
ive seen star trek twice seeing today since outvoted,2,Cluster 1,Negative,Neutral
surprisingly liked star trek contrary theory star wars fans anti trekkies,2,Cluster 1,Negative,Positive
im tired cant sleep,2,Cluster 1,Negative,Neutral
happy belated birthday francesc fabregas wish best fabre,2,Cluster 1,Negative,Positive
santana maria maria wraith httpblipfmaa,2,Cluster 1,Negative,Neutral
heading baguio hours,2,Cluster 1,Negative,Neutral
hi im eunice kyna im huge fan cant wait next album,2,Cluster 1,Negative,Neutral
wow vicodin must worked slept better get updating bjadaycom job,2,Cluster 1,Negative,Neutral
hey dave whasup,2,Cluster 1,Negative,Neutral
honestly say thematic big part blogging enthusiam love able want,2,Cluster 1,Negative,Positive
haha didnt anything wrong,2,Cluster 1,Negative,Positive
uggg computer running sooo slow today driving batty guess time remove files defrag ugg want mac,2,Cluster 1,Negative,Neutral
good morning early bad conscience trying make taking day yesterday p,2,Cluster 1,Negative,Neutral
getting ready go ikea alone cuz one go,2,Cluster 1,Negative,Neutral
aaa new follower hiii,2,Cluster 1,Negative,Neutral
hear time earlier mean,2,Cluster 1,Negative,Neutral
ok im going outsidewish playing basketball oh well,2,Cluster 1,Negative,Positive
watching star trek next watch movie theater cause movie really worth,2,Cluster 1,Negative,Neutral
